,restaurant_id,restaurant_name,length,ave_rating,comment_amount,topic_id,topic_words
16,16,八色韓式烤肉,840,4.0,3206,25,"['""服務"" ', '""店員"" ', '""小菜"" ', '""態度"" ', '""炸雞"" ', '""用餐"" ', '""韓式"" ', '""味道"" ', '""餐點"" ', '""客人""']"
17,17,問鼎麻辣養生鍋,840,4.8,9262,4,"['""服務"" ', '""新鮮"" ', '""湯頭"" ', '""用餐"" ', '""湯底"" ', '""火鍋"" ', '""態度"" ', '""親切"" ', '""鴨血"" ', '""推薦""']"
18,18,OvenMaru 烤頂鷄,830,3.8,1287,24,"['""餐點"" ', '""貓咪"" ', '""味道"" ', '""店員"" ', '""炸雞"" ', '""服務"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""用餐""']"
19,19,TOASTERiA Cafe,840,4.3,4936,3,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""適合"" ', '""味道"" ', '""食物"" ', '""親切"" ', '""美味""']"
20,20,Mamak檔星馬料理 忠孝店,840,4.1,4633,8,"['""味道"" ', '""服務"" ', '""餐點"" ', '""海南"" ', '""馬來西亞"" ', '""雞飯"" ', '""推薦"" ', '""喜歡"" ', '""餐廳"" ', '""份量""']"
21,21,Campus Cafe,840,4.0,2892,16,"['""餐點"" ', '""服務"" ', '""義大利麵"" ', '""用餐"" ', '""鬆餅"" ', '""燉飯"" ', '""味道"" ', '""適合"" ', '""環境"" ', '""餐廳""']"
22,22,南門市場,840,4.2,13257,26,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""用餐"" ', '""餐點"" ', '""市場"" ', '""餐廳"" ', '""麵包"" ', '""環境"" ', '""薯條""']"
23,23,美好年代,840,3.9,2114,16,"['""餐點"" ', '""服務"" ', '""義大利麵"" ', '""用餐"" ', '""鬆餅"" ', '""燉飯"" ', '""味道"" ', '""適合"" ', '""環境"" ', '""餐廳""']"
24,24,Drunk Cafe爛醉咖啡,840,3.8,1385,20,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""份量"" ', '""環境"" ', '""早午餐"" ', '""咖啡"" ', '""適合"" ', '""蛋捲"" ', '""態度""']"
25,25,杭州小籠湯包,840,3.8,6952,32,"['""炸雞"" ', '""小籠包"" ', '""披薩"" ', '""服務"" ', '""湯包"" ', '""味道"" ', '""鼎泰豐"" ', '""用餐"" ', '""炒飯"" ', '""價格""']"
26,26,這一鍋 信義殿,840,4.4,3084,4,"['""服務"" ', '""新鮮"" ', '""湯頭"" ', '""用餐"" ', '""湯底"" ', '""火鍋"" ', '""態度"" ', '""親切"" ', '""鴨血"" ', '""推薦""']"
27,27,Mosun 墨賞新鐵板料理餐廳,840,4.5,3954,26,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""用餐"" ', '""餐點"" ', '""市場"" ', '""餐廳"" ', '""麵包"" ', '""環境"" ', '""薯條""']"
28,28,鼎泰豊,840,4.5,5530,32,"['""炸雞"" ', '""小籠包"" ', '""披薩"" ', '""服務"" ', '""湯包"" ', '""味道"" ', '""鼎泰豐"" ', '""用餐"" ', '""炒飯"" ', '""價格""']"
29,29,凱恩斯岩燒餐廳,840,4.5,4642,13,"['""服務"" ', '""用餐"" ', '""餐點"" ', '""餐廳"" ', '""推薦"" ', '""味道"" ', '""套餐"" ', '""喜歡"" ', '""奶豆腐"" ', '""羊肉""']"
30,30,遠東Café (香格里拉遠東飯店),840,4.4,7460,37,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""菜色"" ', '""選擇"" ', '""甜點"" ', '""食物"" ', '""新鮮"" ', '""啤酒"" ', '""餐廳""']"
31,31,Le Ruban Pâtisserie 法朋烘焙甜點坊,840,4.0,3493,0,"['""蛋糕"" ', '""湯圓"" ', '""牛奶"" ', '""服務"" ', '""草莓"" ', '""店員"" ', '""味道"" ', '""喜歡"" ', '""檸檬"" ', '""甜點""']"
32,32,好米亞 Goodies Cuisine,840,4.3,2461,16,"['""餐點"" ', '""服務"" ', '""義大利麵"" ', '""用餐"" ', '""鬆餅"" ', '""燉飯"" ', '""味道"" ', '""適合"" ', '""環境"" ', '""餐廳""']"
33,33,青田七六,840,4.4,3381,21,"['""餐點"" ', '""服務"" ', '""環境"" ', '""日式"" ', '""建築"" ', '""用餐"" ', '""餐廳"" ', '""下午茶"" ', '""適合"" ', '""古蹟""']"
34,34,大阪燒肉 燒魂Yakikon 大安店,840,4.9,5554,17,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""時間"" ', '""舒芙蕾"" ', '""東西""']"
35,35,青沐初食,840,4.4,1232,16,"['""餐點"" ', '""服務"" ', '""義大利麵"" ', '""用餐"" ', '""鬆餅"" ', '""燉飯"" ', '""味道"" ', '""適合"" ', '""環境"" ', '""餐廳""']"
36,36,和牛涮 日式鍋物放題 台北羅斯福店,840,4.9,10660,17,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""時間"" ', '""舒芙蕾"" ', '""東西""']"
37,37,微兜 Petit Doux咖啡小酒館 永康店,840,4.2,2206,16,"['""餐點"" ', '""服務"" ', '""義大利麵"" ', '""用餐"" ', '""鬆餅"" ', '""燉飯"" ', '""味道"" ', '""適合"" ', '""環境"" ', '""餐廳""']"
38,38,Le Blanc 牛排館,840,4.4,2977,26,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""用餐"" ', '""餐點"" ', '""市場"" ', '""餐廳"" ', '""麵包"" ', '""環境"" ', '""薯條""']"
39,39,果然匯 明曜店,840,4.3,4585,37,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""菜色"" ', '""選擇"" ', '""甜點"" ', '""食物"" ', '""新鮮"" ', '""啤酒"" ', '""餐廳""']"
40,40,燒肉-殿,840,3.9,4994,17,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""時間"" ', '""舒芙蕾"" ', '""東西""']"
41,41,Pocha 韓式熱炒,840,4.0,1445,24,"['""餐點"" ', '""貓咪"" ', '""味道"" ', '""店員"" ', '""炸雞"" ', '""服務"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""用餐""']"
42,42,Sugar Miss,779,4.2,959,0,"['""蛋糕"" ', '""湯圓"" ', '""牛奶"" ', '""服務"" ', '""草莓"" ', '""店員"" ', '""味道"" ', '""喜歡"" ', '""檸檬"" ', '""甜點""']"
43,43,銀兔湯咖哩 師大店,840,4.6,4810,14,"['""咖哩"" ', '""味道"" ', '""咖喱"" ', '""店員"" ', '""雞肉"" ', '""外帶"" ', '""服務"" ', '""牛肉"" ', '""蔬菜"" ', '""份量""']"
44,44,佐藤咖哩Sato Curry,840,4.4,4213,14,"['""咖哩"" ', '""味道"" ', '""咖喱"" ', '""店員"" ', '""雞肉"" ', '""外帶"" ', '""服務"" ', '""牛肉"" ', '""蔬菜"" ', '""份量""']"
45,45,屯京拉麵,840,4.2,2411,28,"['""拉麵"" ', '""湯頭"" ', '""豚骨"" ', '""叉燒"" ', '""味道"" ', '""排隊"" ', '""麵條"" ', '""喜歡"" ', '""濃厚"" ', '""日式""']"
46,46,台一牛奶大王,840,3.8,5384,0,"['""蛋糕"" ', '""湯圓"" ', '""牛奶"" ', '""服務"" ', '""草莓"" ', '""店員"" ', '""味道"" ', '""喜歡"" ', '""檸檬"" ', '""甜點""']"
47,47,M ONE Cafe 大安館,840,4.3,2660,20,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""份量"" ', '""環境"" ', '""早午餐"" ', '""咖啡"" ', '""適合"" ', '""蛋捲"" ', '""態度""']"
48,48,太和殿鴛鴦麻辣火鍋,840,4.4,4849,4,"['""服務"" ', '""新鮮"" ', '""湯頭"" ', '""用餐"" ', '""湯底"" ', '""火鍋"" ', '""態度"" ', '""親切"" ', '""鴨血"" ', '""推薦""']"
